,pred,target
0,0.85425854,1.0
1,0.75390506,0.8043885
2,0.68083084,0.5525968
3,0.66170293,0.84669286
4,0.5247435,0.45632768
5,0.70004636,0.38350064
6,0.6854459,0.7638133
7,0.3273982,0.79165715
8,0.70275253,0.40932196
9,0.74863505,0.939148
10,0.5950633,0.9316755
11,0.53428406,0.6113967
12,0.6484817,0.85844964
13,0.7620902,0.3606514
14,0.76496726,0.83034873
15,0.67571735,0.90412694
16,0.7854918,0.7550535
17,0.7296244,0.79869646
18,0.77006024,0.7451048
19,0.5453188,0.43397537
20,0.61015046,0.6660736
21,0.63653564,0.45686212
22,0.6606369,0.46293098
23,0.6024803,0.91693014
24,0.6506412,0.6036638
25,0.55590403,0.7858342
26,0.1906681,0.7767903
27,0.7778904,0.72507215
28,0.6666909,0.8176907
29,0.75731283,0.42697972
30,0.77380043,0.7409292
31,0.2946599,0.8435947
32,0.7123525,0.7303533
33,0.54013634,0.81225795
34,0.708387,0.576487
35,0.16332296,0.8594103
36,0.7238562,0.690581
37,0.6595198,0.7458997
38,0.42031077,0.9175424
39,1.0233494,0.46579963
40,0.8181619,0.19650666
41,0.5401658,0.7467863
42,0.70022845,0.77367294
43,0.5002095,0.74226993
44,0.57270736,0.71742535
45,0.46022984,0.72702587
46,0.86980736,0.63867706
47,0.3597585,0.85082585
48,0.45179734,0.37438166
49,0.38647032,0.9090609
50,0.6745674,0.70495373
51,0.7578603,0.75267273
52,0.73848605,0.7784804
53,1.1411065,0.9134325
54,0.6549616,0.7434848
55,0.30668065,0.8364768
