epoch,train_loss,val_loss
0,0.667263031005859,0.262369692325592
1,0.324944138526917,0.430684715509415
2,0.318396717309952,0.230562448501587
3,0.156197383999825,0.214140191674232
4,0.192182540893555,0.182092145085335
5,0.152595579624176,0.213983356952667
6,0.0996486097574234,0.206166863441467
7,0.309320896863937,0.159204229712486
8,0.0941913649439812,0.145261690020561
9,0.30269005894661,0.165938973426819
10,0.164300918579102,0.158621206879616
11,0.0668728277087212,0.186560571193695
12,0.0980207473039627,0.151643991470337
13,0.100037969648838,0.145677015185356
14,0.134651988744736,0.153386309742928
15,0.263910233974457,0.151311159133911
16,0.0953114777803421,0.142191872000694
17,0.118511743843555,0.155083552002907
18,0.161219447851181,0.137973204255104
19,0.11923947930336,0.148443967103958
20,0.143809378147125,0.135242789983749
21,0.0633676573634148,0.154872938990593
22,0.057208813726902,0.138865083456039
23,0.10392551869154,0.145034492015839
24,0.0829217359423637,0.139113575220108
25,0.0909096673130989,0.127361610531807
26,0.0780595242977142,0.135413467884064
27,0.0847705900669098,0.144367516040802
28,0.114848971366882,0.136941462755203
29,0.0835859030485153,0.133766040205956
30,0.140135928988457,0.132811829447746
31,0.103316269814968,0.131201982498169
32,0.0513144172728062,0.124459661543369
33,0.116212993860245,0.13028809428215
34,0.0986284166574478,0.13332387804985
35,0.118233509361744,0.136825814843178
36,0.106789402663708,0.135129868984222
37,0.105287313461304,0.136890783905983
38,0.0666474923491478,0.139334753155708
39,0.0640892684459686,0.133540093898773
40,0.0758631452918053,0.133202448487282
41,0.0487086214125156,0.137041196227074
42,0.0749607235193253,0.129349067807198
43,0.0491863749921322,0.127367839217186
44,0.105866394937038,0.134878292679787
45,0.111938200891018,0.139201730489731
46,0.0832899883389473,0.129638224840164
47,0.0507240630686283,0.128061935305595
48,0.101908721029758,0.127523422241211
49,0.0853322222828865,0.129715323448181
