T1_true,T1_pred,T2_true,T2_pred,T3_true,T3_pred,T4_true,T4_pred,T5_true,T5_pred
8.177072141,7.31373323126187,11.15316957,10.5512152825616,12.97977677,12.6766446677441,14.22230161,14.1790199110793,15.18198479,15.2972784591813
1.877655068,1.39951478195474,8.895470282,8.12222319981298,12.1500671,11.6395972711173,14.01247493,13.8027503898045,15.27878911,15.2675147723717
2.984240134,7.87143108459187,8.400737705,11.2470980033052,11.48702575,13.4439741406077,13.41747432,14.9877358533624,14.78666819,16.1319376841875
-1.748804274,-1.83734665376435,7.028880946,6.10655816121595,11.08171858,10.5182979873824,13.35130285,13.3252035740294,14.89119534,15.268187484849
-2.943804251,-1.80568335369143,6.216318258,6.06686024686535,10.52296222,10.2898775931652,12.89961169,12.9235852115785,14.45266923,14.7230915695683
0.701828371,-0.931745827346189,8.05970044,6.83487482570588,11.63016396,10.8882067417929,13.71455697,13.3774939259221,15.17131994,15.0616049128866
-8.366699427,-8.10447583564783,5.662244654,5.18551335983501,10.83904086,10.6396521804048,13.39645381,13.6101714544589,14.96583142,15.4788856979197
1.07256602,2.02629693730094,8.811534885,9.26788862371206,12.17573926,12.8245614056421,14.0555617,14.9384747588624,15.3126081,16.3394839600403
-2.892530766,-1.07778407197983,6.417424523,6.90247098195503,10.62515963,11.1678936828491,12.95545407,13.8226275880087,14.50957732,15.6341168173731
-2.186015061,1.02324829943904,7.885010054,8.74128350871658,11.93311971,12.4555516942451,13.95605181,14.6398626839792,15.29763769,16.078088686142
3.323742544,1.84788569407648,9.242418169,8.0054390510788,12.19248723,11.4041642426842,13.94200718,13.5588229537232,15.17289091,15.0468088212168
-10.66143899,-10.2969486277473,5.509801878,4.58057375545912,10.84915297,10.3942184496476,13.40271274,13.4929936755343,14.99388859,15.418616017686
-10.82141336,-9.93699296808671,5.035146542,4.62242840701062,10.62873371,10.3832102997013,13.3167877,13.4704498529797,14.92657829,15.39476799177
-5.226470536,-3.9032759600419,5.819770863,5.67532407044223,10.54933288,10.3358193358088,13.02998422,13.0922245052507,14.59909242,14.9134963810728
-3.892235524,-3.77479652187947,6.263360075,5.68348373541616,10.72996828,10.3079821899475,13.14031857,13.0500781065648,14.70200089,14.8647574872907
-4.09253457,-4.70870291394771,6.17358169,4.83487430477106,10.70263294,9.65486303348464,13.12542428,12.5624706141302,14.72215491,14.507422430611
-2.794924559,-1.26938620530468,6.917923037,6.97860607064239,11.24833963,11.1853483148863,13.56105556,13.7365174704977,15.03781432,15.4487474022129
-0.825784527,-0.368969245203862,7.582430973,7.14473762017236,11.49561991,11.0779681511097,13.67021898,13.4975569073376,15.12573348,15.1362640005794
1.334097381,1.2819749667739,8.649723867,8.03445670286578,12.17216958,11.6198472344184,14.15402152,13.8430494669821,15.40924786,15.3564315619668
-15.65994439,-14.6132236514392,2.136072725,1.47700157975419,9.039356191,8.88054195162963,12.36789014,13.1367049449356,14.32816651,15.9006731996632
-2.240704324,-1.16961204622719,6.982435097,7.06094002807456,11.14826831,11.2038712132028,13.41143146,13.6985512138429,14.84688201,15.3654050606695
-6.360191875,-4.30627451913372,6.000394541,6.44979222164153,10.91307879,11.2664120826621,13.40572333,13.9987802881192,14.95355187,15.7591077522577
-0.570378941,-0.179238358611128,7.394737103,7.22261322404877,11.23080213,11.2223944570604,13.39912866,13.7273151300403,14.84362885,15.443452141707
1.310584849,1.8411932914325,8.274935906,8.3226251175231,11.69498105,11.8435094108403,13.70091261,14.0551584171721,15.05304386,15.5733394972358
0.612046739,-0.0440046320510579,7.696415902,7.25915059980683,11.26549966,11.2278489828423,13.38034825,13.7213136574372,14.84366462,15.4331785670449
-0.518497213,0.895756400145495,8.080298766,8.05830609066373,11.84388896,11.8379079301682,13.92120065,14.1733996073046,15.3584881,15.7596755720022
3.170534491,3.3535335817641,9.05241574,8.94544294873934,12.06848811,12.1031627823624,13.86832599,14.1320116144821,15.1407191,15.5455461826814
-11.13551259,-9.48524349706008,4.446953579,3.9525613154242,10.14234057,9.91829249945482,12.93781147,13.288434859445,14.68429031,15.4542640673242
-11.85243,-10.0207761743745,5.133377976,4.86153067245315,10.77239172,10.5559585795475,13.4229396,13.5640505878633,15.03925658,15.4239220903751
-2.754097821,-1.87872543010355,6.975267001,6.62655273642347,11.22315419,10.8874843605878,13.491544,13.4467101916985,15.01532473,15.1539665306218
2.83444464,2.55108287861191,9.079349199,8.19147315298257,12.05194745,11.3885045747702,13.83970278,13.4471726842351,15.16337589,14.8835954110076
-8.776055625,-8.08754408168291,5.36529321,4.64612790996269,10.62149762,10.2255780262892,13.2431611,13.3577750650516,14.87409914,15.3632311703243
3.873174867,3.96255336093539,9.154103774,9.16802749411552,12.02908527,12.2266917714804,13.81559959,14.2395656570922,15.09063031,15.664696587303
-8.116842657,-8.56657413763001,4.16645236,3.29869693751737,9.58176427,9.33851334948538,12.43790826,12.9974268043801,14.24148908,15.4514805736494
